now_time,predict_time,id,lon,lat,10UV,MSL,ob,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-03-01 08:00:00,2016-03-01 20:00:00,F6147,117.483,23.707,9.339280497539573,0.8877496154157143,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2,11.5,10.9,4.8,7.5,7.1,7.6,12.4
2016-03-02 08:00:00,2016-03-02 20:00:00,F6147,117.483,23.707,4.540808289281147,0.3177041666845071,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2,11.5,10.9,4.8,7.5,7.1,7.6
2016-03-03 08:00:00,2016-03-03 20:00:00,F6147,117.483,23.707,3.208963063346163,0.784162150025395,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2,11.5,10.9,4.8,7.5,7.1
2016-03-04 08:00:00,2016-03-04 20:00:00,F6147,117.483,23.707,3.546704619161702,1.1070528405474531,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2,11.5,10.9,4.8,7.5
2016-03-05 08:00:00,2016-03-05 20:00:00,F6147,117.483,23.707,3.0029886823346232,1.2994694898536636,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2,11.5,10.9,4.8
2016-03-06 08:00:00,2016-03-06 20:00:00,F6147,117.483,23.707,6.7208653982357305,0.57713116928619,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2,11.5,10.9
2016-03-07 08:00:00,2016-03-07 20:00:00,F6147,117.483,23.707,3.3940093145711305,0.5330432564679768,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2,11.5
2016-03-08 08:00:00,2016-03-08 20:00:00,F6147,117.483,23.707,3.2338056181508854,0.9848423264301118,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5,11.2
2016-03-09 08:00:00,2016-03-09 20:00:00,F6147,117.483,23.707,11.18276201910836,3.482238815720166,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6,12.5
2016-03-10 08:00:00,2016-03-10 20:00:00,F6147,117.483,23.707,11.307186524282635,3.184459346516292,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3,13.6
2016-03-11 08:00:00,2016-03-11 20:00:00,F6147,117.483,23.707,9.232012175912358,2.51541794777836,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6,11.3
2016-03-12 08:00:00,2016-03-12 20:00:00,F6147,117.483,23.707,7.220372661880598,0.7964676144129044,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9,8.6
2016-03-13 08:00:00,2016-03-13 20:00:00,F6147,117.483,23.707,10.103296441109473,2.718018685720949,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5,4.9
2016-03-14 08:00:00,2016-03-14 20:00:00,F6147,117.483,23.707,10.66517384180383,2.1764853225488423,10.7,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6,5.5
2016-03-15 08:00:00,2016-03-15 20:00:00,F6147,117.483,23.707,7.229861065838307,0.1876159783738558,11.8,10.7,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8,9.6
2016-03-16 08:00:00,2016-03-16 20:00:00,F6147,117.483,23.707,6.985740374308193,0.8548980202821213,6.9,11.8,10.7,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9,13.8
2016-03-17 08:00:00,2016-03-17 20:00:00,F6147,117.483,23.707,2.6356632397140367,0.1771554316142101,6.9,6.9,11.8,10.7,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5,8.9
2016-03-18 08:00:00,2016-03-18 20:00:00,F6147,117.483,23.707,3.2878645164209703,1.5981081812442426,3.0,6.9,6.9,11.8,10.7,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7,3.5
2016-03-19 08:00:00,2016-03-19 20:00:00,F6147,117.483,23.707,8.41110712028345,1.4591038410184185,9.4,3.0,6.9,6.9,11.8,10.7,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3,2.7
2016-03-20 08:00:00,2016-03-20 20:00:00,F6147,117.483,23.707,9.31836049754558,1.5676305547598304,9.9,9.4,3.0,6.9,6.9,11.8,10.7,12.5,9.6,10.1,15.7,14.0,3.1,5.1,6.6,2.3
