now_time,predict_time,id,lon,lat,10UV,MSL,ob,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-05-01 08:00:00,2016-05-01 20:00:00,59320,117.15,23.767,1.7828357306460991,0.09135133519146166,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7,1.8,2.1,2.4,3.5,4.4,4.4,3.5
2016-05-02 08:00:00,2016-05-02 20:00:00,59320,117.15,23.767,3.480724849879672,1.0523298588976786,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7,1.8,2.1,2.4,3.5,4.4,4.4
2016-05-03 08:00:00,2016-05-03 20:00:00,59320,117.15,23.767,3.2668914863405334,1.1956016722060667,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7,1.8,2.1,2.4,3.5,4.4
2016-05-04 08:00:00,2016-05-04 20:00:00,59320,117.15,23.767,1.931880730364434,0.24700698954984546,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7,1.8,2.1,2.4,3.5
2016-05-05 08:00:00,2016-05-05 20:00:00,59320,117.15,23.767,2.2490049107596466,0.6322120354811887,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7,1.8,2.1,2.4
2016-05-06 08:00:00,2016-05-06 20:00:00,59320,117.15,23.767,1.6415817080953043,0.6833616761603025,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7,1.8,2.1
2016-05-07 08:00:00,2016-05-07 20:00:00,59320,117.15,23.767,1.287967947773217,0.26439581501051634,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7,1.8
2016-05-08 08:00:00,2016-05-08 20:00:00,59320,117.15,23.767,1.7016188318876806,0.956316064923044,1.9,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6,1.7
2016-05-09 08:00:00,2016-05-09 20:00:00,59320,117.15,23.767,3.2466136251532216,0.3011227750407669,3.9,1.9,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1,3.6
2016-05-10 08:00:00,2016-05-10 20:00:00,59320,117.15,23.767,3.484203309302212,2.4437629393816,4.6,3.9,1.9,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1,3.1
2016-05-11 08:00:00,2016-05-11 20:00:00,59320,117.15,23.767,2.4729658452629093,1.455597563940728,4.8,4.6,3.9,1.9,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6,2.1
2016-05-12 08:00:00,2016-05-12 20:00:00,59320,117.15,23.767,1.264179699419,2.0204429599332343,4.0,4.8,4.6,3.9,1.9,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4,3.6
2016-05-13 08:00:00,2016-05-13 20:00:00,59320,117.15,23.767,4.771059825358504,1.5978642920915718,4.6,4.0,4.8,4.6,3.9,1.9,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1,3.4
2016-05-14 08:00:00,2016-05-14 20:00:00,59320,117.15,23.767,1.7002171728500208,0.7659542064029665,4.8,4.6,4.0,4.8,4.6,3.9,1.9,2.1,3.5,2.6,2.2,1.9,2.8,2.5,3.9,4.1
