now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-06-05 08:00:00,2016-06-06 20:00:00,46730,119.66,23.259,3.5812112259886213,5.967270305762099,4.0,4.042175199453781,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0,7.5,8.0,3.5,5.5,6.3,8.5,9.5
2016-06-06 08:00:00,2016-06-07 20:00:00,46730,119.66,23.259,3.6393333312700062,7.077003952543919,4.0,2.3658339742664607,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0,7.5,8.0,3.5,5.5,6.3,8.5
2016-06-07 08:00:00,2016-06-08 20:00:00,46730,119.66,23.259,4.084924309177677,6.553443636460768,3.0,4.2861161822361575,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0,7.5,8.0,3.5,5.5,6.3
2016-06-08 08:00:00,2016-06-09 20:00:00,46730,119.66,23.259,6.053406393542062,7.711169040150821,5.5,2.4336176178663966,4.0,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0,7.5,8.0,3.5,5.5
2016-06-09 08:00:00,2016-06-10 20:00:00,46730,119.66,23.259,7.299987737223054,7.325008710202043,11.5,5.898035910065375,3.0,4.0,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0,7.5,8.0,3.5
2016-06-10 08:00:00,2016-06-11 20:00:00,46730,119.66,23.259,8.332289741796599,7.0446125373325685,9.3,9.733094053089003,5.5,3.0,4.0,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0,7.5,8.0
2016-06-11 08:00:00,2016-06-12 20:00:00,46730,119.66,23.259,9.741431963106962,6.868042570020747,9.3,9.178345877407086,11.5,5.5,3.0,4.0,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0,7.5
2016-06-12 08:00:00,2016-06-13 20:00:00,46730,119.66,23.259,7.2968367098077085,7.766768189818662,8.5,9.295307322258347,9.3,11.5,5.5,3.0,4.0,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0,7.0
2016-06-13 08:00:00,2016-06-14 20:00:00,46730,119.66,23.259,8.183616178567066,7.1359706850568045,7.5,6.083196648203592,9.3,9.3,11.5,5.5,3.0,4.0,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0,6.0
2016-06-14 08:00:00,2016-06-15 20:00:00,46730,119.66,23.259,9.032261930923678,7.016765562752539,7.5,6.30106376389533,8.5,9.3,9.3,11.5,5.5,3.0,4.0,4.0,5.5,7.0,6.5,7.5,6.5,6.6,6.0
2016-06-16 08:00:00,2016-06-17 20:00:00,46730,119.66,23.259,4.489488698776436,7.409410420549534,6.5,4.54658244942137,7.5,7.5,8.5,9.3,9.3,11.5,5.5,3.0,4.0,4.0,5.5,7.0,6.5,7.5,6.5
