now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-02-28 08:00:00,2016-03-01 20:00:00,F6031,118.113,24.331,8.021007403741944,1.0201621509047527,2.5,10.432394734346188,4.334314993037009,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5,1.0,1.7,1.7,1.6,2.0,3.1,2.1
2016-02-29 08:00:00,2016-03-02 20:00:00,F6031,118.113,24.331,2.431476282424758,0.16337344962960287,2.1,8.171956081446814,10.319735424020578,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5,1.0,1.7,1.7,1.6,2.0,3.1
2016-03-01 08:00:00,2016-03-03 20:00:00,F6031,118.113,24.331,1.9941585058355964,0.4345536732924984,1.9,2.654869424746737,8.111358670381826,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5,1.0,1.7,1.7,1.6,2.0
2016-03-02 08:00:00,2016-03-04 20:00:00,F6031,118.113,24.331,2.0476920520146744,0.6125277839212231,1.0,1.7464529991959106,2.7609472531427603,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5,1.0,1.7,1.7,1.6
2016-03-03 08:00:00,2016-03-05 20:00:00,F6031,118.113,24.331,1.6922757651699072,1.0976881673401522,1.4,2.0277433126990183,2.038487166948193,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5,1.0,1.7,1.7
2016-03-04 08:00:00,2016-03-06 20:00:00,F6031,118.113,24.331,5.538430846577084,0.4356696872876,1.5,1.4640361458859317,2.124180145230498,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5,1.0,1.7
2016-03-05 08:00:00,2016-03-07 20:00:00,F6031,118.113,24.331,1.849734692741561,0.33423323539852845,1.1,5.793413573612662,1.9482790185369985,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5,1.0
2016-03-06 08:00:00,2016-03-08 20:00:00,F6031,118.113,24.331,3.632798770927783,0.4129154932563779,1.4,0.983286663122386,4.915620866151762,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5,2.5
2016-03-07 08:00:00,2016-03-09 20:00:00,F6031,118.113,24.331,10.9263207426319,2.56376738406243,2.8,4.188515054100768,1.050875627411995,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8,2.5
2016-03-08 08:00:00,2016-03-10 20:00:00,F6031,118.113,24.331,10.638892144279225,3.5055749062970563,2.7,10.793754932052355,3.852170688080328,1.1,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3,1.8
2016-03-09 08:00:00,2016-03-11 20:00:00,F6031,118.113,24.331,7.0478657902714925,2.539968792993477,3.6,9.66977051622166,10.415100366124896,1.4,1.1,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9,2.3
2016-03-10 08:00:00,2016-03-12 20:00:00,F6031,118.113,24.331,5.248919060575815,0.6143348081827753,1.4,7.1932779193627825,9.634969069314014,2.8,1.4,1.1,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3,3.9
2016-03-11 08:00:00,2016-03-13 20:00:00,F6031,118.113,24.331,9.105458604995613,2.4252350727080056,2.1,4.698392150835341,7.619632094132569,2.7,2.8,1.4,1.1,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0,2.3
2016-03-12 08:00:00,2016-03-14 20:00:00,F6031,118.113,24.331,9.54218960196298,2.3278114900055016,2.0,8.439827678161672,4.858826855391836,3.6,2.7,2.8,1.4,1.1,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5,2.0
2016-03-13 08:00:00,2016-03-15 20:00:00,F6031,118.113,24.331,6.297958348624412,0.880871716355955,3.1,9.372317182044222,9.480730835301456,1.4,3.6,2.7,2.8,1.4,1.1,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9,1.5
2016-03-14 08:00:00,2016-03-16 20:00:00,F6031,118.113,24.331,3.357390323401801,0.5553755109332315,1.3,6.024768171755983,9.422331275053606,2.1,1.4,3.6,2.7,2.8,1.4,1.1,1.5,1.4,1.0,1.9,2.1,2.5,2.5,1.9
