now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2015-07-01 08:00:00,2015-07-03 20:00:00,59129,117.6,24.133000000000006,2.1081946001172,1.6809809765314867,3.0,3.031516270206268,2.9525882285758613,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8,2.3,3.0,2.7,3.0,2.0,2.9,2.3
2015-07-02 08:00:00,2015-07-04 20:00:00,59129,117.6,24.133000000000006,1.3001003391253119,1.6918692241351891,2.1,2.0320177510362645,2.7961585715732373,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8,2.3,3.0,2.7,3.0,2.0,2.9
2015-07-03 08:00:00,2015-07-05 20:00:00,59129,117.6,24.133000000000006,1.4486636418082253,2.215431196960936,3.1,1.1785379849228474,2.4428305491773408,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8,2.3,3.0,2.7,3.0,2.0
2015-07-04 08:00:00,2015-07-06 20:00:00,59129,117.6,24.133000000000006,0.988580384846146,2.6419962631017597,2.1,1.2107716401680728,2.7727598840019083,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8,2.3,3.0,2.7,3.0
2015-07-05 08:00:00,2015-07-07 20:00:00,59129,117.6,24.133000000000006,2.2440121533588484,3.18179340792085,4.1,1.0721023586984166,1.9603274882719888,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8,2.3,3.0,2.7
2015-07-06 08:00:00,2015-07-08 20:00:00,59129,117.6,24.133000000000006,2.698091594754489,2.36535261686538,7.0,3.2089830066297607,1.0740986803446886,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8,2.3,3.0
2015-07-07 08:00:00,2015-07-09 20:00:00,59129,117.6,24.133000000000006,2.212829782627492,4.4004057103616105,2.4,10.469204009573042,4.468223692584111,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8,2.3
2015-07-08 08:00:00,2015-07-10 20:00:00,59129,117.6,24.133000000000006,4.0927152199338375,3.7832144048529694,3.6,2.796111637561123,6.148182184330789,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1,3.8
2015-07-09 08:00:00,2015-07-11 20:00:00,59129,117.6,24.133000000000006,2.5547322154748016,2.7204057103617743,2.7,3.6031210671224048,3.2798379538876814,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7,2.1
2015-07-10 08:00:00,2015-07-12 20:00:00,59129,117.6,24.133000000000006,1.6302435427030415,2.001996263101887,2.9,2.48056473281853,3.0382226617551944,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4,1.7
2015-07-11 08:00:00,2015-07-13 20:00:00,59129,117.6,24.133000000000006,2.009688822386,1.9616150556644243,2.9,0.9618046627772692,1.5011380985748732,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0,2.4
2015-07-12 08:00:00,2015-07-14 20:00:00,59129,117.6,24.133000000000006,0.8877417803581912,1.1285789289505601,2.4,1.0238722013601032,1.1590927055193918,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6,3.0
2015-07-13 08:00:00,2015-07-15 20:00:00,59129,117.6,24.133000000000006,0.8548999393857811,1.3700842725710345,2.6,0.9469130143609432,0.8654301777169869,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7,2.6
2015-07-14 08:00:00,2015-07-16 20:00:00,59129,117.6,24.133000000000006,0.844776449093076,1.2419962631015549,3.0,0.8444226946778803,0.8323311209280833,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7,2.7
2015-07-15 08:00:00,2015-07-17 20:00:00,59129,117.6,24.133000000000006,2.140446510210148,2.2048465350256947,3.7,1.3018866232054842,0.7672831022106928,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1,2.7
2015-07-16 08:00:00,2015-07-18 20:00:00,59129,117.6,24.133000000000006,2.0431789245068166,2.7210262974739408,2.8,2.181380912318548,1.0351374467610421,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6,2.1
2015-07-17 08:00:00,2015-07-19 20:00:00,59129,117.6,24.133000000000006,1.5537203012668193,1.5230115496718781,4.5,3.104107336956,2.4546843753842955,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0,1.6
2015-07-18 08:00:00,2015-07-20 20:00:00,59129,117.6,24.133000000000006,4.613071835956582,0.4780037368984722,9.0,1.145629931413934,3.4042200126805087,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1,3.0
2015-07-19 08:00:00,2015-07-21 20:00:00,59129,117.6,24.133000000000006,3.5633535877745444,1.836649338712164,4.2,6.134980097386014,3.9427898880848495,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1,2.1
2015-07-20 08:00:00,2015-07-22 20:00:00,59129,117.6,24.133000000000006,2.5650550402953303,0.6910995591413212,3.8,3.8494053542161577,5.191245877996919,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1
2015-07-21 08:00:00,2015-07-23 20:00:00,59129,117.6,24.133000000000006,2.402471459499856,0.5200458214350192,1.8,2.333252652224978,4.394451163578093,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1
2015-07-22 08:00:00,2015-07-24 20:00:00,59129,117.6,24.133000000000006,2.034668976463615,0.1284937198308853,2.5,3.239204065998895,2.6069336671263823,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1
2015-07-23 08:00:00,2015-07-25 20:00:00,59129,117.6,24.133000000000006,2.620830040721148,0.9231467954411984,1.3,3.0404982653341412,3.3034854015932087,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0
2015-07-24 08:00:00,2015-07-26 20:00:00,59129,117.6,24.133000000000006,2.196256943600104,0.8340624241870955,1.2,2.819208030205841,3.1182002439022143,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4
2015-07-25 08:00:00,2015-07-27 20:00:00,59129,117.6,24.133000000000006,1.270747940305743,1.4057526347517069,2.2,2.158148313308985,2.1059235122711266,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6
2015-07-26 08:00:00,2015-07-28 20:00:00,59129,117.6,24.133000000000006,1.4453953627709084,1.0473431874917196,2.6,2.0389131467979573,1.3783266300730228,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7
2015-07-27 08:00:00,2015-07-29 20:00:00,59129,117.6,24.133000000000006,1.523010903574232,1.4463279009211192,3.6,1.664718888538041,1.6724988360205086,1.2,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9
2015-07-28 08:00:00,2015-07-30 20:00:00,59129,117.6,24.133000000000006,1.4984498257183143,1.5637007062848625,1.7,1.4099256231991486,1.3071032605207002,2.2,1.2,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9
2015-07-29 08:00:00,2015-07-31 20:00:00,59129,117.6,24.133000000000006,1.4960119698176542,1.7300842725710481,1.5,1.5482235159326283,1.4986168683328849,2.6,2.2,1.2,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4
2015-08-30 08:00:00,2015-09-01 20:00:00,59129,117.6,24.133000000000006,0.9264566923191012,1.7227253975224812,1.6,1.3711100381833392,1.3021460110583798,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4,2.5,2.1,3.1,1.4,1.4,3.2,1.9
