id,time,ob
F6054,2015-01-01 08:00:00,16.0
F6054,2015-01-02 08:00:00,13.1
F6054,2015-01-03 08:00:00,9.9
F6054,2015-01-04 08:00:00,7.0
F6054,2015-01-05 08:00:00,6.8
F6054,2015-01-06 08:00:00,10.5
F6054,2015-01-07 08:00:00,13.1
F6054,2015-01-08 08:00:00,15.8
F6054,2015-01-09 08:00:00,12.5
F6054,2015-01-10 08:00:00,14.5
F6054,2015-01-11 08:00:00,15.5
F6054,2015-01-12 08:00:00,19.1
F6054,2015-02-12 08:00:00,8.0
F6054,2015-02-13 08:00:00,7.5
F6054,2015-02-14 08:00:00,8.1
F6054,2015-02-15 08:00:00,6.1
F6054,2015-02-16 08:00:00,5.3
F6054,2015-02-17 08:00:00,10.8
F6054,2015-02-18 08:00:00,13.8
F6054,2015-02-19 08:00:00,13.7
F6054,2015-02-20 08:00:00,8.6
F6054,2015-02-21 08:00:00,2.9
F6054,2015-02-22 08:00:00,9.3
F6054,2015-02-23 08:00:00,10.3
F6054,2015-02-24 08:00:00,7.0
F6054,2015-02-25 08:00:00,7.9
F6054,2015-02-26 08:00:00,11.1
F6054,2015-02-27 08:00:00,13.5
F6054,2015-02-28 08:00:00,10.7
F6054,2015-03-01 08:00:00,13.4
F6054,2015-03-06 08:00:00,12.0
F6054,2015-03-08 08:00:00,8.1
F6054,2015-03-09 08:00:00,14.8
F6054,2015-03-11 08:00:00,13.5
F6054,2015-03-12 08:00:00,10.2
F6054,2015-03-13 08:00:00,7.2
F6054,2015-04-01 08:00:00,6.3
F6054,2015-04-02 08:00:00,7.4
F6054,2015-04-03 08:00:00,8.5
F6054,2015-04-04 08:00:00,3.6
F6054,2015-04-08 08:00:00,17.4
F6054,2015-04-09 08:00:00,12.5
F6054,2015-04-10 08:00:00,13.9
F6054,2015-04-11 08:00:00,14.8
F6054,2015-04-12 08:00:00,7.8
F6054,2015-04-13 08:00:00,7.7
F6054,2015-04-14 08:00:00,8.4
F6054,2015-04-15 08:00:00,3.0
F6054,2015-04-16 08:00:00,3.6
F6054,2015-04-24 08:00:00,9.0
F6054,2015-04-25 08:00:00,12.4
F6054,2015-04-26 08:00:00,9.7
F6054,2015-04-27 08:00:00,5.3
F6054,2015-04-28 08:00:00,6.5
F6054,2015-04-29 08:00:00,5.6
F6054,2015-04-30 08:00:00,8.7
F6054,2015-05-01 08:00:00,7.1
F6054,2015-05-02 08:00:00,5.9
F6054,2015-05-03 08:00:00,4.9
F6054,2015-05-04 08:00:00,10.9
F6054,2015-05-05 08:00:00,12.0
F6054,2015-05-06 08:00:00,5.0
F6054,2015-05-07 08:00:00,5.4
F6054,2015-05-08 08:00:00,7.5
F6054,2015-05-09 08:00:00,8.8
F6054,2015-05-10 08:00:00,11.2
F6054,2015-05-13 08:00:00,4.3
F6054,2015-05-14 08:00:00,7.1
F6054,2015-05-15 08:00:00,7.7
F6054,2015-05-16 08:00:00,6.0
F6054,2015-05-17 08:00:00,7.3
F6054,2015-05-18 08:00:00,6.9
F6054,2015-05-19 08:00:00,5.2
F6054,2015-05-20 08:00:00,12.6
F6054,2015-05-21 08:00:00,18.3
F6054,2015-05-22 08:00:00,9.5
F6054,2015-05-23 08:00:00,8.0
F6054,2015-05-24 08:00:00,7.5
F6054,2015-05-25 08:00:00,7.9
F6054,2015-05-26 08:00:00,9.1
F6054,2015-05-27 08:00:00,3.2
F6054,2015-05-28 08:00:00,8.3
F6054,2015-07-06 08:00:00,9.3
F6054,2015-07-07 08:00:00,10.7
F6054,2015-07-08 08:00:00,10.9
F6054,2015-07-09 08:00:00,17.3
F6054,2015-07-10 08:00:00,6.9
F6054,2015-07-11 08:00:00,7.3
F6054,2015-07-12 08:00:00,6.9
F6054,2015-07-14 08:00:00,4.4
F6054,2015-07-15 08:00:00,4.8
F6054,2015-07-16 08:00:00,3.5
F6054,2015-07-17 08:00:00,5.1
F6054,2015-07-18 08:00:00,6.5
F6054,2015-07-19 08:00:00,8.5
F6054,2015-07-20 08:00:00,16.9
F6054,2015-07-21 08:00:00,12.1
F6054,2015-07-22 08:00:00,11.2
F6054,2015-07-23 08:00:00,8.1
F6054,2015-07-24 08:00:00,9.1
F6054,2015-07-25 08:00:00,6.3
F6054,2015-07-26 08:00:00,7.7
F6054,2015-07-27 08:00:00,5.8
F6054,2015-07-28 08:00:00,2.7
F6054,2015-07-29 08:00:00,4.6
F6054,2015-07-30 08:00:00,3.2
F6054,2015-07-31 08:00:00,4.6
F6054,2015-08-01 08:00:00,3.9
F6054,2015-08-02 08:00:00,3.9
F6054,2015-08-03 08:00:00,3.7
F6054,2015-08-04 08:00:00,5.5
F6054,2015-08-05 08:00:00,4.8
F6054,2015-08-06 08:00:00,7.4
F6054,2015-08-07 08:00:00,11.2
F6054,2015-08-08 08:00:00,19.0
F6054,2015-08-09 08:00:00,13.3
F6054,2015-08-10 08:00:00,9.9
F6054,2015-08-11 08:00:00,6.3
F6054,2015-08-12 08:00:00,7.0
F6054,2015-08-21 08:00:00,10.0
F6054,2015-08-22 08:00:00,9.9
F6054,2015-08-23 08:00:00,5.4
F6054,2015-09-22 08:00:00,5.2
F6054,2015-09-23 08:00:00,7.7
F6054,2015-09-24 08:00:00,5.0
F6054,2015-09-25 08:00:00,4.9
F6054,2015-09-26 08:00:00,13.5
F6054,2015-09-27 08:00:00,12.9
F6054,2015-09-28 08:00:00,6.4
F6054,2015-10-10 08:00:00,9.4
F6054,2015-10-11 08:00:00,13.3
F6054,2015-10-12 08:00:00,14.3
F6054,2015-10-13 08:00:00,15.0
